Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
1998,19984,0200144,03,"STRIP, QUARY, OPEN PIT","134,685 ",,254 
1998,19984,0200144,30,MILL OPERATION/PREPARATION PLANT,"222,153 ",,434 
1998,19984,0200144,99,OFFICE WORKERS AT MINE SITE,"24,080 ",,53 
1997,19971,0200144,03,"STRIP, QUARY, OPEN PIT","127,803 ",,256 
1997,19971,0200144,30,MILL OPERATION/PREPARATION PLANT,"217,344 ",,444 
1997,19971,0200144,99,OFFICE WORKERS AT MINE SITE,"25,566 ",,53 
1997,19972,0200144,03,"STRIP, QUARY, OPEN PIT","144,308 ",,255 
1997,19972,0200144,30,MILL OPERATION/PREPARATION PLANT,"254,166 ",,443 
1997,19972,0200144,99,OFFICE WORKERS AT MINE SITE,"29,980 ",,52 
1997,19973,0200144,03,"STRIP, QUARY, OPEN PIT","133,916 ",,254 
1997,19973,0200144,30,MILL OPERATION/PREPARATION PLANT,"227,821 ",,434 
1997,19973,0200144,99,OFFICE WORKERS AT MINE SITE,"31,871 ",,60 
1997,19974,0200144,03,"STRIP, QUARY, OPEN PIT","150,709 ",,266 
1997,19974,0200144,30,MILL OPERATION/PREPARATION PLANT,"250,886 ",,449 
1997,19974,0200144,99,OFFICE WORKERS AT MINE SITE,"26,919 ",,46 
1996,19961,0200144,03,"STRIP, QUARY, OPEN PIT","125,842 ",,263 
1996,19961,0200144,30,MILL OPERATION/PREPARATION PLANT,"215,432 ",,442 
1996,19961,0200144,99,OFFICE WORKERS AT MINE SITE,"22,941 ",,45 
1996,19962,0200144,03,"STRIP, QUARY, OPEN PIT","151,080 ",,263 
1996,19962,0200144,30,MILL OPERATION/PREPARATION PLANT,"254,178 ",,444 
1996,19962,0200144,99,OFFICE WORKERS AT MINE SITE,"28,235 ",,45 
1996,19963,0200144,03,"STRIP, QUARY, OPEN PIT","129,899 ",,257 
1996,19963,0200144,30,MILL OPERATION/PREPARATION PLANT,"219,831 ",,437 
