Prod. Year,Prod Qtr.,Mine ID,Subunit,Type,Quarterly Hrs.,Coal Prod.,Avg. Empl Cnt.*
2000,20002,0201049,30,MILL OPERATION/PREPARATION PLANT,"44,889 ",,99 
2000,20002,0201049,99,OFFICE WORKERS AT MINE SITE,"13,634 ",,30 
2000,20003,0201049,30,MILL OPERATION/PREPARATION PLANT,"48,759 ",,99 
2000,20003,0201049,99,OFFICE WORKERS AT MINE SITE,"14,106 ",,30 
2000,20004,0201049,30,MILL OPERATION/PREPARATION PLANT,"47,906 ",,104 
2000,20004,0201049,99,OFFICE WORKERS AT MINE SITE,"13,530 ",,31 
1999,19991,0201049,30,MILL OPERATION/PREPARATION PLANT,"49,734 ",,101 
1999,19991,0201049,99,OFFICE WORKERS AT MINE SITE,"16,697 ",,35 
1999,19992,0201049,30,MILL OPERATION/PREPARATION PLANT,"50,010 ",,102 
1999,19992,0201049,99,OFFICE WORKERS AT MINE SITE,"16,044 ",,33 
1999,19993,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,,0 
1999,19993,0201049,30,MILL OPERATION/PREPARATION PLANT,"49,372 ",,97 
1999,19993,0201049,99,OFFICE WORKERS AT MINE SITE,"15,029 ",,32 
1999,19994,0201049,03,"STRIP, QUARY, OPEN PIT",0 ,,0 
1999,19994,0201049,30,MILL OPERATION/PREPARATION PLANT,"48,856 ",,98 
1999,19994,0201049,99,OFFICE WORKERS AT MINE SITE,"14,933 ",,32 
1998,19981,0201049,03,"STRIP, QUARY, OPEN PIT","88,377 ",,251 
1998,19981,0201049,30,MILL OPERATION/PREPARATION PLANT,"102,339 ",,256 
1998,19981,0201049,99,OFFICE WORKERS AT MINE SITE,"35,632 ",,86 
1998,19982,0201049,03,"STRIP, QUARY, OPEN PIT","19,364 ",,43 
1998,19982,0201049,30,MILL OPERATION/PREPARATION PLANT,"43,238 ",,80 
1998,19982,0201049,99,OFFICE WORKERS AT MINE SITE,"23,615 ",,64 
1998,19983,0201049,03,"STRIP, QUARY, OPEN PIT","18,221 ",,42 
1998,19983,0201049,30,MILL OPERATION/PREPARATION PLANT,"40,051 ",,78 
1998,19983,0201049,99,OFFICE WORKERS AT MINE SITE,"17,752 ",,36 
1998,19984,0201049,03,"STRIP, QUARY, OPEN PIT","17,200 ",,40 
1998,19984,0201049,30,MILL OPERATION/PREPARATION PLANT,"36,988 ",,68 
1998,19984,0201049,99,OFFICE WORKERS AT MINE SITE,"16,512 ",,32 
1997,19971,0201049,03,"STRIP, QUARY, OPEN PIT","135,070 ",,258 
1997,19971,0201049,30,MILL OPERATION/PREPARATION PLANT,"148,765 ",,272 
1997,19971,0201049,99,OFFICE WORKERS AT MINE SITE,"43,025 ",,93 
1997,19972,0201049,03,"STRIP, QUARY, OPEN PIT","136,089 ",,254 
1997,19972,0201049,30,MILL OPERATION/PREPARATION PLANT,"145,976 ",,270 
1997,19972,0201049,99,OFFICE WORKERS AT MINE SITE,"44,867 ",,91 
1997,19973,0201049,03,"STRIP, QUARY, OPEN PIT","135,306 ",,253 
1997,19973,0201049,30,MILL OPERATION/PREPARATION PLANT,"141,319 ",,276 
1997,19973,0201049,99,OFFICE WORKERS AT MINE SITE,"44,528 ",,90 
1997,19974,0201049,03,"STRIP, QUARY, OPEN PIT","132,965 ",,263 
1997,19974,0201049,30,MILL OPERATION/PREPARATION PLANT,"139,246 ",,307 
1997,19974,0201049,99,OFFICE WORKERS AT MINE SITE,"38,507 ",,85 
1996,19961,0201049,03,"STRIP, QUARY, OPEN PIT","148,591 ",,282 
1996,19961,0201049,30,MILL OPERATION/PREPARATION PLANT,"135,178 ",,249 
1996,19961,0201049,99,OFFICE WORKERS AT MINE SITE,"42,107 ",,88 
1996,19962,0201049,03,"STRIP, QUARY, OPEN PIT","148,399 ",,286 
1996,19962,0201049,30,MILL OPERATION/PREPARATION PLANT,"135,197 ",,249 
1996,19962,0201049,99,OFFICE WORKERS AT MINE SITE,"43,311 ",,88 
1996,19963,0201049,03,"STRIP, QUARY, OPEN PIT","151,738 ",,288 
1996,19963,0201049,30,MILL OPERATION/PREPARATION PLANT,"136,832 ",,259 
1996,19963,0201049,99,OFFICE WORKERS AT MINE SITE,"42,879 ",,91 
1996,19964,0201049,03,"STRIP, QUARY, OPEN PIT","134,626 ",,258 
1996,19964,0201049,30,MILL OPERATION/PREPARATION PLANT,"144,902 ",,273 
1996,19964,0201049,99,OFFICE WORKERS AT MINE SITE,"43,000 ",,94 
